season,k,rho_true,rho_sir,sir_failed,rho_hgb,rho_cnn,rho_lstm,rho_transformer
2011-12,10,0.2704,0.1832,False,0.4455,0.5236,0.6085,0.4775
2011-12,15,0.2704,0.2184,False,0.3827,0.4402,0.6085,0.4491
2011-12,20,0.2704,0.2221,False,0.3831,0.4193,0.6085,0.4227
2011-12,25,0.2704,0.2611,False,0.3443,0.3798,0.6085,0.4084
2011-12,30,0.2704,0.2217,False,0.3724,0.3774,0.6085,0.4030
2012-13,10,0.7103,0.7215,False,0.6467,0.7514,0.5901,0.8203
2012-13,15,0.7103,0.7869,False,0.7448,0.7946,0.5901,0.7148
2012-13,20,0.7103,0.4860,False,0.7395,0.7564,0.5901,0.6493
2012-13,25,0.7103,0.4555,False,0.7200,0.7237,0.5901,0.6495
2012-13,30,0.7103,0.4487,False,0.7201,0.7268,0.5901,0.6500
2013-14,10,0.5172,0.6773,False,0.6639,0.7401,0.5981,0.5728
2013-14,15,0.5172,0.7422,False,0.6415,0.7381,0.5981,0.5817
2013-14,20,0.5172,0.3695,False,0.6719,0.7244,0.5981,0.5544
2013-14,25,0.5172,0.3493,False,0.6897,0.7115,0.5981,0.5536
2013-14,30,0.5172,0.3492,False,0.6887,0.7044,0.5981,0.5532
2014-15,10,0.7208,0.7098,False,0.7695,0.6197,0.5896,0.6195
2014-15,15,0.7208,0.7828,False,0.7247,0.7365,0.5896,0.6882
2014-15,20,0.7208,0.4799,False,0.6962,0.7410,0.5896,0.6408
2014-15,25,0.7208,0.4446,False,0.7108,0.7344,0.5896,0.6417
2014-15,30,0.7208,0.4402,False,0.6645,0.7325,0.5896,0.6431
2015-16,10,0.4234,0.3891,False,0.4341,0.5814,0.6019,0.5160
2015-16,15,0.4234,0.2770,False,0.4372,0.5170,0.6019,0.4686
2015-16,20,0.4234,0.5900,False,0.4096,0.5262,0.6019,0.3950
2015-16,25,0.4234,0.6013,False,0.4872,0.5148,0.6019,0.4298
2015-16,30,0.4234,0.3061,False,0.4400,0.5517,0.6019,0.4206
2016-17,10,0.5605,0.6274,False,0.6164,0.7040,0.5956,0.5575
2016-17,15,0.5605,0.6887,False,0.4914,0.7225,0.5956,0.5434
2016-17,20,0.5605,0.7077,False,0.6042,0.7366,0.5956,0.5494
2016-17,25,0.5605,0.4485,False,0.5686,0.7072,0.5956,0.5487
2016-17,30,0.5605,0.3992,False,0.5828,0.7039,0.5956,0.5488
2017-18,10,0.9192,0.7038,False,0.5830,0.6753,0.5811,0.6036
2017-18,15,0.9192,0.7827,False,0.6616,0.7674,0.5811,0.7759
2017-18,20,0.9192,0.8046,False,0.8101,0.8669,0.5811,0.8560
2017-18,25,0.9192,0.6044,False,0.8173,0.8749,0.5811,0.8600
2017-18,30,0.9192,0.5535,False,0.8246,0.8795,0.5811,0.8622
2018-19,10,0.6403,0.3234,False,0.6594,0.6626,0.5917,0.5681
2018-19,15,0.6403,0.7071,False,0.5418,0.6435,0.5917,0.5405
2018-19,20,0.6403,0.7202,False,0.6616,0.7025,0.5917,0.5852
2018-19,25,0.6403,0.5493,False,0.6281,0.6660,0.5917,0.5885
